CustomerKey,FullName,BirthDate,MaritalStatus,Gender,Occupation,City,State,Country
11000,Jon Yang,1971-10-06,Married,Male,Professional,Rockhampton,Queensland,Australia
11001,Eugene Huang,1976-05-10,Single,Male,Professional,Seaford,Victoria,Australia
11002,Ruben Torres,1971-02-09,Married,Male,Professional,Hobart,Tasmania,Australia
11003,Christy Zhu,1973-08-14,Single,Female,Professional,North Ryde,New South Wales,Australia
11004,Elizabeth Johnson,1979-08-05,Single,Female,Professional,Wollongong,New South Wales,Australia
11005,Julio Ruiz,1976-08-01,Single,Male,Professional,East Brisbane,Queensland,Australia
11006,Janet Alvarez,1976-12-02,Single,Female,Professional,Matraville,New South Wales,Australia
11007,Marco Mehta,1969-11-06,Married,Male,Professional,Warrnambool,Victoria,Australia
11008,Rob Verhoff,1975-07-04,Single,Female,Professional,Bendigo,Victoria,Australia
11009,Shannon Carlson,1969-09-29,Single,Male,Professional,Hervey Bay,Queensland,Australia
11010,Jacquelyn Suarez,1969-08-05,Single,Female,Professional,East Brisbane,Queensland,Australia
11011,Curtis Lu,1969-05-03,Married,Male,Professional,East Brisbane,Queensland,Australia
11012,Lauren Walker,1979-01-14,Married,Female,Management,Bremerton,Washington,United States
11013,Ian Jenkins,1979-08-03,Married,Male,Management,Lebanon,Oregon,United States
11014,Sydney Bennett,1973-11-06,Single,Female,Management,Redmond,Washington,United States
11015,Chloe Young,1984-08-26,Single,Female,Skilled Manual,Burbank,California,United States
11016,Wyatt Hill,1984-10-25,Married,Male,Skilled Manual,Imperial Beach,California,United States
11017,Shannon Wang,1949-12-24,Single,Female,Skilled Manual,Sunbury,Victoria,Australia
11018,Clarence Rai,1955-10-06,Single,Male,Clerical,Bendigo,Victoria,Australia
11019,Luke Lal,1983-09-04,Single,Male,Skilled Manual,Langley,British Columbia,Canada
11020,Jordan King,1984-03-19,Single,Male,Skilled Manual,Metchosin,British Columbia,Canada
11021,Destiny Wilson,1984-03-02,Single,Female,Skilled Manual,Beaverton,Oregon,United States
11022,Ethan Zhang,1984-04-10,Married,Male,Skilled Manual,Bellingham,Washington,United States
11023,Seth Edwards,1984-04-09,Married,Male,Skilled Manual,Bellflower,California,United States
